timestamp,total_decisions,blocked_count,allowed_count,avg_decision_delay
1789652397.5300605,10,0,10,1.114
1789652407.5221214,20,0,20,0.76
1789652417.540597,30,0,30,0.7
1789652421.5488658,40,0,40,0.575
1789652421.556224,50,0,50,0.46
1789652421.6421247,60,0,60,0.383
1789652421.645812,70,0,70,0.329
1789652421.6537673,80,0,80,0.288
1789652421.6571105,90,0,90,0.256
1789652421.6606908,100,0,100,0.23
1789652421.6646557,110,0,110,0.209
1789652421.6679082,120,0,120,0.192
1789652421.6723607,130,0,130,0.177
1789652421.6770782,140,0,140,0.164
1789652421.6847088,150,0,150,0.153
1789652421.6894956,160,0,160,0.144
1789652421.6933467,170,0,170,0.135
1789652421.6979527,180,0,180,0.128
1789652421.70352,190,0,190,0.121
1789652421.7079895,200,0,200,0.115
1789652421.7117927,210,0,210,0.11
1789652421.7162533,220,0,220,0.105
1789652421.7213013,230,0,230,0.1
1789652421.7335534,240,0,240,0.096
1789652421.7402291,250,0,250,0.092
1789652421.7477977,260,0,260,0.089
1789652421.754415,270,0,270,0.085
1789652421.7604556,280,0,280,0.082
1789652421.766926,290,0,290,0.08
1789652421.7734761,300,0,300,0.077
1789652421.7806804,310,0,310,0.074
1789652421.7881155,320,0,320,0.072
1789652421.7969017,330,0,330,0.07
1789652421.806051,340,0,340,0.068
1789652421.8126209,350,0,350,0.066
1789652421.8230727,360,0,360,0.064
1789652421.8786588,370,0,370,0.062
1789652421.898553,380,0,380,0.061
1789652421.9043655,390,0,390,0.059
1789652421.9102411,400,0,400,0.058
1789652421.9163764,410,0,410,0.056
1789652421.922684,420,0,420,0.055
1789652421.9288316,430,0,430,0.054
1789652421.9359918,440,0,440,0.053
1789652421.9442027,450,0,450,0.051
1789652421.9500492,460,0,460,0.05
1789652421.9549694,470,0,470,0.049
1789652421.9598055,480,0,480,0.048
1789652421.9656456,490,0,490,0.047
1789652421.97365,500,0,500,0.046
1789652421.9830444,510,0,510,0.045
1789652421.9965491,520,0,520,0.045
1789652422.0028713,530,0,530,0.044
1789652422.010358,540,0,540,0.043
1789652422.0199811,550,0,550,0.042
1789652422.0293407,560,0,560,0.041
1789652422.035748,570,0,570,0.041
1789652422.046654,580,0,580,0.04
1789652422.0577087,590,0,590,0.039
1789652422.0722225,600,0,600,0.039
1789652422.0874379,610,0,610,0.038
1789652422.1175895,620,0,620,0.037
1789652422.1296978,630,0,630,0.037
1789652422.1411064,640,0,640,0.036
1789652422.1508563,650,0,650,0.036
1789652422.1669796,660,0,660,0.035
1789652422.1839123,670,0,670,0.035
1789652422.198281,680,0,680,0.034
1789652422.212231,690,0,690,0.034
1789652422.2249222,700,0,700,0.033
1789652422.234615,710,0,710,0.033
1789652422.2403042,720,0,720,0.032
1789652422.2481735,730,0,730,0.032
1789652422.2559943,740,0,740,0.031
1789652422.2630043,750,0,750,0.031
1789652422.272752,760,0,760,0.031
1789652422.2822764,770,0,770,0.03
1789652422.2891734,780,0,780,0.03
1789652422.2980757,790,0,790,0.03
1789652422.3123329,800,0,800,0.029
1789652422.3243806,810,0,810,0.029
1789652422.3363805,820,0,820,0.028
1789652422.3477163,830,0,830,0.028
1789652422.3533893,840,0,840,0.028
1789652422.3612165,850,0,850,0.027
1789652422.368469,860,0,860,0.027
1789652422.3771617,870,0,870,0.027
1789652422.3842778,880,0,880,0.027
1789652422.3924084,890,0,890,0.026
1789652422.4007068,900,0,900,0.026
1789652422.4113808,910,0,910,0.026
1789652422.425122,920,0,920,0.025
1789652422.4362605,930,0,930,0.025
1789652422.4495661,940,0,940,0.025
1789652422.4604294,950,0,950,0.025
1789652422.469853,960,0,960,0.024
1789652422.4775019,970,0,970,0.024
1789652422.4838803,980,0,980,0.024
1789652422.4918149,990,0,990,0.024
1789652422.501036,1000,0,1000,0.023
1789652422.5072427,1010,0,1010,0.023
1789652422.5178761,1020,0,1020,0.023
1789652422.5310473,1030,0,1030,0.023
1789652422.539356,1040,0,1040,0.023
1789652422.552048,1050,0,1050,0.022
1789652422.5598295,1060,0,1060,0.022
1789652422.5692496,1070,0,1070,0.022
1789652422.5752485,1080,0,1080,0.022
1789652422.5841339,1090,0,1090,0.022
1789652422.5906997,1100,0,1100,0.021
