run_id,phase_id,attack_type,label,start_time,end_time,src_ip,dst_ip
20260917T172845_7e1d3ae7,1,normal,0,1789653543.3898168,1789653573.4323945,10.0.0.1,10.0.0.2
20260917T172845_7e1d3ae7,2,syn_flood,1,1789653573.4327126,1789653633.4817193,10.0.0.1,10.0.0.2
20260917T172845_7e1d3ae7,3,normal,0,1789653633.4819407,1789653648.4820697,10.0.0.1,10.0.0.2
20260917T172845_7e1d3ae7,4,port_scan,1,1789653648.4822984,1789653708.5301008,10.0.0.1,10.0.0.2
20260917T172845_7e1d3ae7,5,normal,0,1789653708.5304084,1789653723.5311575,10.0.0.1,10.0.0.2
20260917T172845_7e1d3ae7,6,icmp_flood,1,1789653723.531499,1789653783.5995002,10.0.0.1,10.0.0.2
20260917T172845_7e1d3ae7,7,normal,0,1789653783.599718,1789653793.6001785,10.0.0.1,10.0.0.2
20260917T172845_7e1d3ae7,8,ssh_bruteforce,1,1789653793.600392,1789653808.637635,10.0.0.1,10.0.0.2
