timestamp,TP,FP,FN,TN,Precision,Recall,F1,FPR,Avg_Det_Delay,Avg_Block_Delay
1784040533.768398,488,0,192,0,1.0,0.718,0.836,0.0,3.614,0.0
1784040533.772285,488,0,202,0,1.0,0.707,0.829,0.0,3.591,0.0
1784040533.77284,488,0,212,0,1.0,0.697,0.822,0.0,3.57,0.0
1784040533.7734382,488,0,222,0,1.0,0.687,0.815,0.0,3.549,0.0
1784040533.77372,488,0,232,0,1.0,0.678,0.808,0.0,3.529,0.0
1784040533.7761872,488,0,242,0,1.0,0.668,0.801,0.0,3.51,0.0
1784040533.7782803,488,0,252,0,1.0,0.659,0.795,0.0,3.491,0.0
1784040533.779591,488,0,262,0,1.0,0.651,0.788,0.0,3.472,0.0
1784040533.7800827,488,0,272,0,1.0,0.642,0.782,0.0,3.455,0.0
1784040533.7807698,488,0,282,0,1.0,0.634,0.776,0.0,3.438,0.0
1784040533.7813764,488,0,292,0,1.0,0.626,0.77,0.0,3.421,0.0
1784040533.7817547,488,0,302,0,1.0,0.618,0.764,0.0,3.405,0.0
1784040533.7822328,488,0,312,0,1.0,0.61,0.758,0.0,3.389,0.0
1784040533.7826068,488,0,322,0,1.0,0.602,0.752,0.0,3.374,0.0
1784040533.7850313,488,0,332,0,1.0,0.595,0.746,0.0,3.359,0.0
1784040533.7853038,488,0,342,0,1.0,0.588,0.741,0.0,3.345,0.0
1784040533.785674,488,0,352,0,1.0,0.581,0.735,0.0,3.331,0.0
1784040533.7863731,488,0,362,0,1.0,0.574,0.729,0.0,3.318,0.0
1784040533.7876947,488,0,372,0,1.0,0.567,0.724,0.0,3.305,0.0
1784040533.7878895,488,0,382,0,1.0,0.561,0.719,0.0,3.292,0.0
1784040533.7925673,488,0,392,0,1.0,0.555,0.713,0.0,3.28,0.0
1784040533.7928047,488,0,402,0,1.0,0.548,0.708,0.0,3.268,0.0
1784040533.7930741,488,0,412,0,1.0,0.542,0.703,0.0,3.256,0.0
1784040533.7933662,488,0,422,0,1.0,0.536,0.698,0.0,3.245,0.0
1784040533.7934911,488,0,432,0,1.0,0.53,0.693,0.0,3.234,0.0
1784040533.7936068,488,0,442,0,1.0,0.525,0.688,0.0,3.223,0.0
