timestamp,TP,FP,FN,TN,Precision,Recall,F1,FPR,Avg_Det_Delay,Avg_Block_Delay
1784379600.8726182,0,0,643,37,0.0,0.0,0.0,0.0,0.999,0.0
1784379601.0056844,0,0,653,37,0.0,0.0,0.0,0.0,1.001,0.0
1784379601.4580898,0,0,663,37,0.0,0.0,0.0,0.0,1.003,0.0
1784379601.5092063,0,0,673,37,0.0,0.0,0.0,0.0,1.005,0.0
1784379601.5601153,0,0,683,37,0.0,0.0,0.0,0.0,1.006,0.0
1784379601.6234114,0,0,693,37,0.0,0.0,0.0,0.0,1.005,0.0
1784379601.6762836,0,0,703,37,0.0,0.0,0.0,0.0,1.003,0.0
1784379601.7103539,0,0,713,37,0.0,0.0,0.0,0.0,1.001,0.0
1784379601.7841258,0,0,723,37,0.0,0.0,0.0,0.0,0.996,0.0
1784379601.8575015,0,0,733,37,0.0,0.0,0.0,0.0,0.991,0.0
1784379601.9128907,0,0,743,37,0.0,0.0,0.0,0.0,1.002,0.0
1784379601.9682746,0,0,753,37,0.0,0.0,0.0,0.0,1.015,0.0
1784379602.042957,0,0,763,37,0.0,0.0,0.0,0.0,1.027,0.0
1784379602.083628,0,0,773,37,0.0,0.0,0.0,0.0,1.039,0.0
1784379602.1425724,0,0,783,37,0.0,0.0,0.0,0.0,1.051,0.0
1784379602.210344,0,0,793,37,0.0,0.0,0.0,0.0,1.062,0.0
1784379602.2646804,0,0,803,37,0.0,0.0,0.0,0.0,1.074,0.0
1784379602.3116663,0,0,813,37,0.0,0.0,0.0,0.0,1.085,0.0
1784379602.3826745,0,0,823,37,0.0,0.0,0.0,0.0,1.096,0.0
1784379602.4332762,0,0,833,37,0.0,0.0,0.0,0.0,1.106,0.0
1784379602.4913316,0,0,843,37,0.0,0.0,0.0,0.0,1.116,0.0
1784379602.5273626,0,0,853,37,0.0,0.0,0.0,0.0,1.125,0.0
1784379602.6158073,0,0,863,37,0.0,0.0,0.0,0.0,1.134,0.0
