flow_id,timestamp,proto,service,p_hat,pred_label,real_label,action,decision_time,flow_start
10.0.0.1|10.0.0.2|57238|80|tcp,1784631725.9741573,tcp,http,0.000512629204690068,0,1,allow,1784631723.8972356,1784631721.9295688
10.0.0.2|10.0.0.1|80|47908|tcp,1784631725.9741693,tcp,other,0.000512629204690068,0,1,allow,1784631723.951507,1784631723.9512012
10.0.0.1|10.0.0.2|47908|80|tcp,1784631727.9973793,tcp,http,0.000512629204690068,0,1,allow,1784631725.899063,1784631723.9091885
10.0.0.2|10.0.0.1|80|47922|tcp,1784631727.997387,tcp,other,0.000512629204690068,0,1,allow,1784631725.947651,1784631725.9473765
10.0.0.1|10.0.0.2|47922|80|tcp,1784631729.91586,tcp,http,0.000512629204690068,0,1,allow,1784631727.9011085,1784631725.9061453
10.0.0.2|10.0.0.1|80|47928|tcp,1784631730.0164165,tcp,other,0.000512629204690068,0,1,allow,1784631727.9503193,1784631727.9500387
10.0.0.1|10.0.0.2|47928|80|tcp,1784631731.9291906,tcp,http,0.000512629204690068,0,1,allow,1784631729.9143393,1784631727.9082406
10.0.0.2|10.0.0.1|80|47934|tcp,1784631732.0296998,tcp,other,0.000512629204690068,0,1,allow,1784631729.993896,1784631729.9936182
10.0.0.1|10.0.0.2|47934|80|tcp,1784631733.9447165,tcp,http,0.000512629204690068,0,1,allow,1784631731.9284267,1784631729.9530406
10.0.0.1|10.0.0.2|47936|80|tcp,1784631733.9448948,tcp,http,0.000512629204690068,0,1,allow,1784631731.9287307,1784631731.92798
10.0.0.2|10.0.0.1|80|47936|tcp,1784631734.0455732,tcp,other,0.000512629204690068,0,1,allow,1784631731.975067,1784631731.974627
10.0.0.1|10.0.0.2|52474|80|tcp,1784631735.9612885,tcp,http,0.000512629204690068,0,1,allow,1784631733.9437792,1784631733.942824
10.0.0.2|10.0.0.1|80|52474|tcp,1784631736.0621805,tcp,other,0.000512629204690068,0,1,allow,1784631733.984755,1784631733.9843802
10.0.0.1|10.0.0.2|52476|80|tcp,1784631737.9747643,tcp,http,0.000512629204690068,0,1,allow,1784631735.951136,1784631735.9503622
10.0.0.2|10.0.0.1|80|52476|tcp,1784631738.0751896,tcp,other,0.000512629204690068,0,1,allow,1784631735.991636,1784631735.991327
10.0.0.1|10.0.0.2|52486|80|tcp,1784631740.0297616,tcp,http,0.000512629204690068,0,1,allow,1784631737.955229,1784631737.9544227
10.0.0.2|10.0.0.1|80|52486|tcp,1784631740.0297687,tcp,other,0.000512629204690068,0,1,allow,1784631737.9963787,1784631737.9957986
10.0.0.1|10.0.0.2|52502|80|tcp,1784631742.0507004,tcp,http,0.000512629204690068,0,1,allow,1784631739.9747157,1784631739.9737597
10.0.0.2|10.0.0.1|80|52502|tcp,1784631742.050708,tcp,other,0.000512629204690068,0,1,allow,1784631740.0168242,1784631740.0164552
10.0.0.2|10.0.0.1|80|2487|tcp,1784631743.9850564,tcp,other,0.000512629204690068,0,1,allow,1784631741.9622178,1784631741.960855
10.0.0.2|10.0.0.1|80|2488|tcp,1784631743.985064,tcp,other,0.000512629204690068,0,1,allow,1784631741.963471,1784631741.9631357
10.0.0.2|10.0.0.1|80|2489|tcp,1784631743.9850667,tcp,other,0.000512629204690068,0,1,allow,1784631741.9640098,1784631741.9637861
10.0.0.1|10.0.0.2|0|0|icmp,1784631744.1130621,icmp,other,0.000512629204690068,0,1,allow,1784631742.0412393,1784631740.4354994
10.0.0.2|10.0.0.1|0|0|icmp,1784631744.113068,icmp,other,0.000512629204690068,0,1,allow,1784631742.041542,1784631740.437516
10.0.0.1|10.0.0.2|2487|80|tcp,1784631744.113071,tcp,http,0.000512629204690068,0,1,allow,1784631742.0418682,1784631741.9576085
10.0.0.1|10.0.0.2|2488|80|tcp,1784631744.1130738,tcp,http,0.000512629204690068,0,1,allow,1784631742.0421152,1784631741.959621
10.0.0.1|10.0.0.2|2489|80|tcp,1784631744.113077,tcp,http,0.000512629204690068,0,1,allow,1784631742.0426228,1784631741.96065
10.0.0.1|10.0.0.2|2490|80|tcp,1784631744.1130793,tcp,http,0.000512629204690068,0,1,allow,1784631742.0446017,1784631741.962602
10.0.0.1|10.0.0.2|2491|80|tcp,1784631744.113081,tcp,http,0.000512629204690068,0,1,allow,1784631742.0448084,1784631741.962945
10.0.0.1|10.0.0.2|2492|80|tcp,1784631744.1132135,tcp,http,0.000512629204690068,0,1,allow,1784631742.0449286,1784631741.96364
10.0.0.1|10.0.0.2|2493|80|tcp,1784631744.113218,tcp,http,0.000512629204690068,0,1,allow,1784631742.0450346,1784631741.964167
10.0.0.1|10.0.0.2|2494|80|tcp,1784631744.1132197,tcp,http,0.000512629204690068,0,1,allow,1784631742.045121,1784631741.964315
10.0.0.1|10.0.0.2|2495|80|tcp,1784631744.113222,tcp,http,0.000512629204690068,0,1,allow,1784631742.045248,1784631742.040859
10.0.0.2|10.0.0.1|80|2490|tcp,1784631744.1132247,tcp,other,0.000512629204690068,0,1,allow,1784631742.0463712,1784631742.046047
10.0.0.2|10.0.0.1|80|2491|tcp,1784631744.1132267,tcp,other,0.000512629204690068,0,1,allow,1784631742.0469692,1784631742.0467477
10.0.0.2|10.0.0.1|80|2492|tcp,1784631744.1132288,tcp,other,0.000512629204690068,0,1,allow,1784631742.0478358,1784631742.0476127
10.0.0.2|10.0.0.1|80|2493|tcp,1784631744.113231,tcp,other,0.000512629204690068,0,1,allow,1784631742.0482051,1784631742.0480227
10.0.0.2|10.0.0.1|80|2494|tcp,1784631744.1132329,tcp,other,0.000512629204690068,0,1,allow,1784631742.0488296,1784631742.048602
10.0.0.2|10.0.0.1|80|2495|tcp,1784631744.1132345,tcp,other,0.000512629204690068,0,1,allow,1784631742.0639453,1784631742.0636797
10.0.0.2|10.0.0.1|80|2496|tcp,1784631744.113337,tcp,other,0.000512629204690068,0,1,allow,1784631742.0651894,1784631742.0649967
10.0.0.2|10.0.0.1|80|2497|tcp,1784631744.1133406,tcp,other,0.000512629204690068,0,1,allow,1784631742.0656676,1784631742.0653727
10.0.0.2|10.0.0.1|80|2498|tcp,1784631744.1133428,tcp,other,0.000512629204690068,0,1,allow,1784631742.0659041,1784631742.0657735
10.0.0.2|10.0.0.1|80|2499|tcp,1784631744.1133444,tcp,other,0.000512629204690068,0,1,allow,1784631742.0662558,1784631742.0661244
10.0.0.2|10.0.0.1|80|2500|tcp,1784631744.1133466,tcp,other,0.000512629204690068,0,1,allow,1784631742.0665176,1784631742.066346
10.0.0.2|10.0.0.1|80|2501|tcp,1784631744.1133487,tcp,other,0.000512629204690068,0,1,allow,1784631742.066867,1784631742.0667088
10.0.0.2|10.0.0.1|80|2502|tcp,1784631744.1133509,tcp,other,0.000512629204690068,0,1,allow,1784631742.0672445,1784631742.0670588
10.0.0.2|10.0.0.1|80|2503|tcp,1784631744.1133523,tcp,other,0.000512629204690068,0,1,allow,1784631742.067578,1784631742.0674365
10.0.0.2|10.0.0.1|80|2504|tcp,1784631744.1133535,tcp,other,0.000512629204690068,0,1,allow,1784631742.0678172,1784631742.067672
10.0.0.2|10.0.0.1|80|2505|tcp,1784631744.113355,tcp,other,0.000512629204690068,0,1,allow,1784631742.0682158,1784631742.0679727
10.0.0.2|10.0.0.1|80|2506|tcp,1784631744.113413,tcp,other,0.000512629204690068,0,1,allow,1784631742.0689728,1784631742.0686617
10.0.0.2|10.0.0.1|80|2507|tcp,1784631744.1134164,tcp,other,0.000512629204690068,0,1,allow,1784631742.069302,1784631742.0691469
10.0.0.2|10.0.0.1|80|2508|tcp,1784631744.1134183,tcp,other,0.000512629204690068,0,1,allow,1784631742.0696864,1784631742.0695379
10.0.0.2|10.0.0.1|80|2509|tcp,1784631744.113421,tcp,other,0.000512629204690068,0,1,allow,1784631742.07026,1784631742.0700953
10.0.0.2|10.0.0.1|80|2510|tcp,1784631744.1134226,tcp,other,0.000512629204690068,0,1,allow,1784631742.070512,1784631742.0703652
10.0.0.2|10.0.0.1|80|2511|tcp,1784631744.1134243,tcp,other,0.000512629204690068,0,1,allow,1784631742.0707545,1784631742.0706093
10.0.0.2|10.0.0.1|80|2512|tcp,1784631744.1134257,tcp,other,0.000512629204690068,0,1,allow,1784631742.070997,1784631742.0708501
10.0.0.2|10.0.0.1|80|2513|tcp,1784631744.1134276,tcp,other,0.000512629204690068,0,1,allow,1784631742.0712368,1784631742.0710907
10.0.0.2|10.0.0.1|80|2514|tcp,1784631744.1134298,tcp,other,0.000512629204690068,0,1,allow,1784631742.0715747,1784631742.0714257
10.0.0.2|10.0.0.1|80|2515|tcp,1784631744.1134312,tcp,other,0.000512629204690068,0,1,allow,1784631742.0718288,1784631742.071667
10.0.0.2|10.0.0.1|80|2516|tcp,1784631744.1134963,tcp,other,0.000512629204690068,0,1,allow,1784631742.0720842,1784631742.0719357
10.0.0.2|10.0.0.1|80|2517|tcp,1784631744.1134999,tcp,other,0.000512629204690068,0,1,allow,1784631742.0726554,1784631742.072484
10.0.0.2|10.0.0.1|80|2518|tcp,1784631744.1135015,tcp,other,0.000512629204690068,0,1,allow,1784631742.0730608,1784631742.0727632
10.0.0.2|10.0.0.1|80|2519|tcp,1784631744.113503,tcp,other,0.000512629204690068,0,1,allow,1784631742.0734406,1784631742.0732968
10.0.0.2|10.0.0.1|80|2520|tcp,1784631744.113505,tcp,other,0.000512629204690068,0,1,allow,1784631742.0736666,1784631742.073534
10.0.0.2|10.0.0.1|80|2521|tcp,1784631744.113507,tcp,other,0.000512629204690068,0,1,allow,1784631742.074265,1784631742.0737557
10.0.0.2|10.0.0.1|80|2522|tcp,1784631744.1135087,tcp,other,0.000512629204690068,0,1,allow,1784631742.0769432,1784631742.07621
10.0.0.2|10.0.0.1|80|2523|tcp,1784631744.1135101,tcp,other,0.000512629204690068,0,1,allow,1784631742.078359,1784631742.0777695
10.0.0.2|10.0.0.1|80|2524|tcp,1784631744.1135116,tcp,other,0.000512629204690068,0,1,allow,1784631742.0793393,1784631742.0787463
10.0.0.2|10.0.0.1|80|2525|tcp,1784631744.1135135,tcp,other,0.000512629204690068,0,1,allow,1784631742.0800183,1784631742.0797558
10.0.0.2|10.0.0.1|80|2526|tcp,1784631744.1135688,tcp,other,0.000512629204690068,0,1,allow,1784631742.0803554,1784631742.0801458
10.0.0.2|10.0.0.1|80|2527|tcp,1784631744.113572,tcp,other,0.000512629204690068,0,1,allow,1784631742.0806246,1784631742.08047
